iter	RMSE
303	2.645978068
304	2.641335798
305	2.632178221
306	2.629440683
307	2.625263167
308	2.621330398
309	2.616082719
310	2.606501755
311	2.601945974
312	2.599656218
313	2.597604718
314	2.593706601
315	2.589834476
316	2.58624838
317	2.581926937
318	2.580138336
319	2.576915724
320	2.57331951
321	2.569570342
322	2.561511294
323	2.551341801
324	2.547233967
325	2.545065289
326	2.542023872
327	2.53979665
328	2.534693317
329	2.52599066
330	2.518494133
331	2.515026637
332	2.511009435
333	2.504164006
334	2.499904113
335	2.492274791
336	2.489396531
337	2.485908497
338	2.480485881
339	2.476924694
340	2.473014092
341	2.470703895
342	2.466470066
343	2.462855152
344	2.454233212
345	2.451241123
346	2.448769055
347	2.44620123
348	2.443441671
349	2.436817333
350	2.430135396
351	2.426504379
352	2.42528694
353	2.420511505
354	2.417972305
355	2.415525999
356	2.409445383
357	2.40278506
358	2.398514816
359	2.394644368
360	2.391341995
361	2.38671762
362	2.383772312
363	2.379585759
364	2.37840648
365	2.37567038
366	2.371562846
367	2.369707661
368	2.364332955
369	2.362073722
370	2.353408142
371	2.347616687
372	2.345321004
373	2.343395183
374	2.337518334
375	2.334145565
376	2.332472286
377	2.329142376
378	2.324275148
379	2.31923058
380	2.314410491
381	2.309750184
382	2.305452724
383	2.301355601
384	2.298284326
385	2.29540864
386	2.291636065
387	2.289065258
388	2.283127273
389	2.281176943
390	2.276194287
391	2.270894964
392	2.269082955
393	2.266636032
394	2.264026554
395	2.25918042
396	2.256196343
397	2.25461461
398	2.252950566
399	2.248128204
400	2.245720631
401	2.243066481
402	2.238825582
403	2.231525642
404	2.226749335
405	2.225614036
406	2.221553013
407	2.217926596
408	2.214988471
409	2.211110249
410	2.207724683
411	2.205142438
412	2.201184568
413	2.19626789
414	2.195048777
415	2.189119933
416	2.186636468
417	2.181003529
418	2.176529284
419	2.173815179
420	2.170643305
421	2.169577446
422	2.167988337
423	2.16517889
424	2.161601183
425	2.159711317
426	2.154353679
427	2.152370421
428	2.15147418
429	2.148984486
430	2.147409195
431	2.144791495
432	2.142123685
433	2.138485287
434	2.134864021
435	2.132355879
436	2.129904492
437	2.127434954
438	2.123946824
439	2.120714931
440	2.118140935
441	2.115618043
442	2.112093552
443	2.111436906
444	2.106671256
445	2.104980826
446	2.103592722
447	2.101659157
448	2.100417946
449	2.097363149
450	2.095305091
451	2.092739714
452	2.090789059
453	2.085802403
454	2.082247868
455	2.079665528
456	2.077457113
457	2.072269562
458	2.066055718
459	2.063816255
460	2.059583105
461	2.057310142
462	2.054441861
463	2.050176898
464	2.047311416
465	2.045561968
466	2.043855067
467	2.042225403
468	2.04054566
469	2.039177442
470	2.036701616
471	2.034790294
472	2.033094709
473	2.031285978
474	2.028942609
475	2.023719807
476	2.020973212
477	2.019175973
478	2.016376887
479	2.014025734
480	2.01198188
481	2.009720015
482	2.006973326
483	2.002807389
484	1.998962372
485	1.997845773
486	1.995964735
487	1.994878148
488	1.99357413
489	1.988598547
490	1.986860407
491	1.985240799
492	1.983229803
493	1.981940582
494	1.980442557
495	1.979115806
496	1.977180893
497	1.974751056
498	1.96887357
499	1.965914042
500	1.963268606
501	1.958573214
502	1.957426973
503	1.955596531
504	1.952543125
505	1.949896537
506	1.948239131
507	1.947631256
508	1.946917128
509	1.945151382
510	1.943949613
511	1.939732674
512	1.936606539
513	1.932772639
514	1.931868546
515	1.93036479
516	1.928485254
517	1.927468324
518	1.926310348
519	1.923527395
520	1.919886031
521	1.917462034
522	1.91620939
523	1.912942641
524	1.911628255
525	1.910054908
526	1.907662725
527	1.903047014
528	1.901673815
529	1.900709253
530	1.897788367
531	1.896848476
532	1.895000635
533	1.893590215
534	1.892166569
535	1.891005928
536	1.889226949
537	1.887945728
538	1.885125381
539	1.88317769
540	1.88138447
541	1.877432749
542	1.874171935
543	1.873166526
544	1.8698607
545	1.868219957
546	1.866254974
547	1.86262063
548	1.860780331
549	1.857888134
550	1.854705626
551	1.852372027
552	1.850481748
553	1.849683955
554	1.848002572
555	1.847359211
556	1.846518474
557	1.844884433
558	1.842257224
559	1.840224724
560	1.83700872
561	1.835705816
562	1.831188457
563	1.828851778
564	1.826609477
565	1.825457534
566	1.821003814
567	1.820195004
568	1.818772008
569	1.816959756
570	1.815455034
571	1.8129502
572	1.809943337
573	1.807658554
574	1.805022113
575	1.802118469
576	1.800168122
577	1.798779772
578	1.797162008
579	1.795576978
580	1.794038203
581	1.792041564
582	1.790469095
583	1.790022828
584	1.788499326
585	1.787201383
586	1.786141329
587	1.784889771
588	1.783205236
589	1.782578517
590	1.780536268
591	1.779242424
592	1.776368656
593	1.774581851
594	1.769949692
595	1.768365585
596	1.767123627
597	1.766650127
598	1.76372191
599	1.762682645
600	1.760415129
601	1.758495832
602	1.758033649
603	1.755665618
604	1.754607066
605	1.750679557
606	1.747590798
607	1.746598516
608	1.745343257
609	1.744394764
610	1.742758514
611	1.741340378
612	1.740208865
613	1.739434769
614	1.737151565
615	1.735842377
616	1.733033714
617	1.731171325
618	1.729273151
619	1.727298262
620	1.725528701
621	1.722902209
622	1.72105143
623	1.719398708
624	1.718597325
625	1.717207323
626	1.715897573
627	1.713527669
628	1.710561472
629	1.70958287
630	1.708574307
631	1.707917791
632	1.705778727
633	1.704703141
634	1.701738827
635	1.700096543
636	1.697678996
637	1.696226754
638	1.692342025
639	1.690356168
640	1.688174268
641	1.687066048
642	1.685962975
643	1.684405739
644	1.681899066
645	1.68104722
646	1.679403717
647	1.678057819
648	1.677786723
649	1.675437007
650	1.674912805
651	1.673830913
652	1.671845665
653	1.671268597
654	1.668966987
655	1.668367879
656	1.667964505
657	1.6659445
658	1.664990683
659	1.663187298
660	1.659526344
661	1.65910685
662	1.657393563
663	1.65494862
664	1.653345599
665	1.65230843
666	1.649617192
667	1.647810547
668	1.64634385
669	1.644984724
670	1.642216075
671	1.639981261
672	1.63806374
673	1.637810645
674	1.636168198
675	1.635253864
676	1.634321354
677	1.632824598
678	1.631330357
679	1.628811502
680	1.62674635
681	1.625449874
682	1.624360172
683	1.622615778
684	1.621693729
685	1.620701141
686	1.618258739
687	1.617133335
688	1.615982933
689	1.615063086
690	1.613937924
691	1.612925527
692	1.611895079
693	1.61101334
694	1.610418598
695	1.609379939
696	1.607568454
697	1.606239084
698	1.604927879
699	1.603149557
700	1.60236307
701	1.600117812
702	1.598814582
703	1.597254447
704	1.595297742
705	1.593350852
706	1.591739872
707	1.588504439
708	1.588182124
709	1.587742436
710	1.586559855
711	1.585351629
712	1.585011119
713	1.583693904
714	1.582431633
715	1.581366981
716	1.579735631
717	1.578489477
718	1.577782814
719	1.576079818
720	1.57297898
721	1.572141845
722	1.570788856
723	1.569228154
724	1.568574028
725	1.567839785
726	1.566010488
727	1.56521791
728	1.563706191
729	1.562412455
730	1.562111699
731	1.561213588
732	1.559688783
733	1.558727683
734	1.556437299
735	1.554798
736	1.552978555
737	1.550088072
738	1.548839926
739	1.547587797
740	1.546676276
741	1.544824539
742	1.544393336
743	1.543827193
744	1.543070347
745	1.542315988
746	1.54082448
747	1.539927977
748	1.537362065
749	1.536662436
750	1.535694313
751	1.534575895
752	1.533471205
753	1.532021266
754	1.531068602
755	1.529607274
756	1.528343749
757	1.527012249
758	1.525972638
759	1.524875753
760	1.52411696
761	1.523334662
762	1.522114166
763	1.521733192
764	1.519120853
765	1.518522341
766	1.517002879
767	1.51671653
768	1.515523441
769	1.513597754
770	1.510747952
771	1.510462514
772	1.510057938
773	1.50926256
774	1.508122501
775	1.506298422
776	1.505243328
777	1.504017281
778	1.503467335
779	1.502139318
780	1.501063177
781	1.500756656
782	1.49999824
783	1.497242803
784	1.496517013
785	1.495468133
786	1.493892674
787	1.49297375
788	1.490424861
789	1.487725571
790	1.48611721
791	1.48497011
792	1.484094302
793	1.483317384
794	1.482336971
795	1.481839417
796	1.481047924
797	1.480309564
798	1.478769348
799	1.475015742
800	1.474645446
801	1.473631819
802	1.472543416
803	1.470930172
804	1.469287383
805	1.46768131
806	1.466853069
807	1.465433616
808	1.463790595
809	1.46313078
810	1.462436424
811	1.458844175
812	1.4572801
813	1.45664526
814	1.455782239
815	1.45473172
816	1.453765305
817	1.452010628
818	1.451175161
819	1.450588395
820	1.448413098
821	1.446453804
822	1.442753935
823	1.441676228
824	1.44082011
825	1.439513229
826	1.437956538
827	1.43703487
828	1.436232473
829	1.43534718
830	1.434788497
831	1.432955476
832	1.432004238
833	1.430917583
834	1.429466669
835	1.425882644
836	1.424981078
837	1.421611565
838	1.420398999
839	1.419438128
840	1.419080855
841	1.418639319
842	1.417380553
843	1.415427331
844	1.414094363
845	1.412941137
846	1.412137312
847	1.410522915
848	1.409354166
849	1.408556828
850	1.406491624
851	1.405550851
852	1.404755267
853	1.403558938
854	1.40272984
855	1.401787385
856	1.401074057
857	1.400131656
858	1.398561274
859	1.397772534
860	1.397445146
861	1.396134371
862	1.395457768
863	1.392967647
864	1.392386885
865	1.391693386
866	1.390674357
867	1.390082884
868	1.388960193
869	1.388232856
870	1.387044514
871	1.384194735
872	1.383847569
873	1.382564262
874	1.38105585
875	1.3795813
876	1.378560121
877	1.377484341
878	1.376518659
879	1.375197437
880	1.373933573
881	1.371159195
882	1.370333212
883	1.368031861
884	1.367400802
885	1.366121587
886	1.365081163
887	1.364029533
888	1.363892916
889	1.362976411
890	1.362337333
891	1.361401021
892	1.360473689
893	1.359845792
894	1.359076205
895	1.35815401
896	1.356535933
897	1.35551421
898	1.354299848
899	1.353625349
900	1.352825684
901	1.352606494
902	1.349323642
903	1.348002379
904	1.346697274
905	1.346060517
906	1.343368279
907	1.342310952
908	1.341588243
909	1.340224952
910	1.339349495
911	1.339015263
912	1.338322153
913	1.336306118
914	1.335283911
915	1.334776845
916	1.333371347
917	1.33231714
918	1.331354748
919	1.33017652
920	1.329272885
921	1.328386202
922	1.327768144
923	1.327263591
924	1.326267812
925	1.325237475
926	1.324584016
927	1.323450129
928	1.322487028
929	1.322228106
930	1.321383985
931	1.319922149
932	1.319284097
933	1.317558833
934	1.31643138
935	1.315235774
936	1.31460602
937	1.312289252
938	1.311629005
939	1.310733659
940	1.309794888
941	1.308562915
942	1.308159285
943	1.307666714
944	1.306681547
945	1.305104819
946	1.304914817
947	1.303728908
948	1.302826194
949	1.301789912
950	1.301134768
951	1.300301885
952	1.299167291
953	1.298930415
954	1.297585471
955	1.296251864
956	1.293569752
957	1.292751391
958	1.29219492
959	1.289651346
960	1.289305854
961	1.288358402
962	1.287345265
963	1.286745423
964	1.286028767
965	1.285178393
966	1.284340728
967	1.28372851
968	1.283256904
969	1.282982312
970	1.282418171
971	1.281173018
972	1.28024052
973	1.277370871
974	1.276464071
975	1.274171879
976	1.27314567
977	1.27236136
978	1.271356971
979	1.269701784
980	1.268989695
981	1.267968296
982	1.267362584
983	1.266775929
984	1.265815659
985	1.264363362
986	1.263490237
987	1.262496635
988	1.261202451
989	1.260088829
990	1.259251638
991	1.258687955
992	1.258166294
993	1.255335784
994	1.254590123
995	1.252924105
996	1.251605057
997	1.250698346
998	1.249222502
999	1.248029061
